generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
205,23,32,0,1,1,0,1,1,0,1,1,1,0.037000,1410,73,10,4,149,5.1600,0.4444,35.554,1,143,2992,40.0,60.0,20.0,80.0
205,24,32,0,0,0,0,0,1,1,1,1,1,0.034000,1371,73,10,4,149,22.4900,0.4608,36.862,1,143,2992,60.0,40.0,40.0,60.0
205,25,32,1,1,1,0,1,1,0,1,0,1,0.036000,1410,73,10,4,149,6.1100,0.4444,35.554,1,143,2992,40.0,60.0,20.0,80.0
205,26,32,0,1,0,1,0,1,0,0,0,1,0.033000,827,51,6,4,129,2.6500,0.3151,25.212,1,143,2992,100.0,0.0,20.0,80.0
205,27,32,1,1,0,0,1,1,0,0,1,0,0.027000,1403,73,10,4,149,10.0500,0.4450,35.598,1,143,2992,40.0,60.0,60.0,40.0
205,28,32,0,1,0,1,1,1,0,1,0,1,0.037000,1339,73,10,4,140,12.1200,0.4443,35.543,1,143,2992,80.0,20.0,0.0,100.0
205,29,32,1,0,1,1,0,1,1,0,1,1,0.034000,1381,73,10,4,149,10.9700,0.4610,36.879,1,143,2992,20.0,80.0,40.0,60.0
206,0,32,1,1,1,0,1,1,1,1,0,1,0.037000,1411,73,10,4,149,8.9200,0.4463,35.701,1,143,2992,20.0,80.0,20.0,80.0
206,1,32,0,1,0,1,1,1,1,1,0,1,0.037000,1344,73,10,4,140,13.0700,0.4443,35.543,1,143,2992,60.0,40.0,0.0,100.0
206,2,32,0,1,0,1,1,1,1,1,1,1,0.037000,1339,73,10,4,140,15.5300,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
206,3,32,1,0,1,1,1,1,1,0,1,1,0.034000,1381,73,10,4,149,10.8700,0.4613,36.903,1,143,2992,0.0,100.0,40.0,60.0
206,4,32,0,0,0,0,1,0,0,0,1,1,0.027000,1410,73,10,4,149,10.2500,0.4444,35.554,1,143,2992,60.0,40.0,80.0,20.0
206,5,32,1,1,1,1,1,1,1,0,1,0,0.029000,1410,73,10,4,149,12.1000,0.4444,35.554,1,143,2992,0.0,100.0,40.0,60.0
206,6,32,1,0,0,1,0,1,1,1,0,1,0.035000,1384,73,10,4,149,12.7800,0.4613,36.903,1,143,2992,60.0,40.0,20.0,80.0
206,7,32,1,0,1,1,1,1,0,1,1,1,0.036000,1387,73,10,4,149,12.9300,0.4610,36.879,1,143,2992,20.0,80.0,20.0,80.0
206,8,32,1,1,0,0,0,1,0,0,1,0,0.027000,1408,73,10,4,149,9.6000,0.4450,35.598,1,143,2992,60.0,40.0,60.0,40.0
206,9,32,0,0,0,1,0,1,1,1,1,1,0.035000,1369,73,10,4,149,22.4900,0.4611,36.886,1,143,2992,60.0,40.0,20.0,80.0
206,10,32,1,1,1,0,0,1,0,1,1,0,0.028000,1410,73,10,4,149,9.9100,0.4444,35.554,1,143,2992,40.0,60.0,40.0,60.0
206,11,32,0,1,1,1,1,1,1,1,1,1,0.038000,1339,73,10,4,140,17.5300,0.4443,35.543,1,143,2992,20.0,80.0,0.0,100.0
206,13,32,1,0,1,1,1,1,1,1,0,1,0.035000,1382,73,10,4,149,13.6700,0.4577,36.616,1,143,2992,20.0,80.0,20.0,80.0
206,14,32,1,1,0,0,0,0,1,1,0,1,0.035000,1374,73,10,4,149,4.1200,0.4611,36.886,1,143,2992,60.0,40.0,40.0,60.0
206,15,32,0,1,1,1,0,1,1,1,0,1,0.037000,1344,73,10,4,140,13.3900,0.4443,35.543,1,143,2992,60.0,40.0,0.0,100.0
206,16,32,1,0,1,0,1,1,0,1,1,0,0.028000,1404,73,10,4,149,9.8300,0.4450,35.598,1,143,2992,20.0,80.0,60.0,40.0
206,17,32,0,0,0,1,1,0,0,1,1,1,0.033000,1380,73,10,4,149,10.7200,0.4613,36.903,1,143,2992,60.0,40.0,40.0,60.0
206,18,32,1,0,0,0,0,1,0,0,1,1,0.033000,1414,73,10,4,149,10.8600,0.4444,35.554,1,143,2992,60.0,40.0,60.0,40.0
206,19,32,1,1,1,1,1,1,0,0,1,0,0.028000,1410,73,10,4,149,10.6300,0.4444,35.554,1,143,2992,20.0,80.0,40.0,60.0
206,20,32,1,0,0,1,1,1,1,1,1,1,0.036000,1386,73,10,4,149,23.9200,0.4613,36.903,1,143,2992,20.0,80.0,20.0,80.0
206,21,32,1,1,1,1,0,1,1,1,1,1,0.038000,1339,73,10,4,140,19.6900,0.4443,35.543,1,143,2992,20.0,80.0,0.0,100.0
206,22,32,1,1,1,1,1,1,0,1,0,1,0.036000,1339,73,10,4,140,17.1600,0.4443,35.543,1,143,2992,40.0,60.0,0.0,100.0
206,23,32,1,1,1,0,1,1,1,1,1,0,0.029000,1410,73,10,4,149,11.3200,0.4444,35.554,1,143,2992,0.0,100.0,40.0,60.0
