generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
505,22,256,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0.076000,1968,75,13,4,620,9.7000,0.7184,43.107,1,1123,23628,75.0,25.0,25.0,75.0
505,23,256,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0.076000,1968,75,13,4,620,1.9100,0.7184,43.107,1,1123,23628,37.5,62.5,37.5,62.5
505,24,256,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0.076000,1970,75,13,4,620,9.2500,0.7184,43.102,1,1123,23628,62.5,37.5,50.0,50.0
505,25,256,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0.076000,1970,75,13,4,620,9.3800,0.7184,43.102,1,1123,23628,50.0,50.0,50.0,50.0
505,26,256,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.076000,1970,75,13,4,620,9.2900,0.7184,43.102,1,1123,23628,87.5,12.5,50.0,50.0
505,27,256,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0.076000,1968,75,13,4,620,9.4900,0.7184,43.107,1,1123,23628,50.0,50.0,50.0,50.0
505,28,256,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0.076000,1970,75,13,4,620,1.6200,0.7184,43.102,1,1123,23628,37.5,62.5,62.5,37.5
505,29,256,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0.076000,1971,75,13,4,620,1.8400,0.7184,43.107,1,1123,23628,50.0,50.0,25.0,75.0
506,0,256,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0.076000,1971,75,13,4,620,9.1700,0.7184,43.107,1,1123,23628,75.0,25.0,37.5,62.5
506,1,256,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.074000,1509,61,13,4,616,9.2100,0.5812,34.872,1,1123,23628,62.5,37.5,100.0,0.0
506,2,256,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0.076000,1968,75,13,4,620,9.4100,0.7184,43.107,1,1123,23628,62.5,37.5,50.0,50.0
506,3,256,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.074000,1509,61,13,4,616,9.0300,0.5812,34.872,1,1123,23628,75.0,25.0,100.0,0.0
506,4,256,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0.076000,1918,75,13,4,611,10.4300,0.7191,43.145,1,1123,23628,87.5,12.5,0.0,100.0
506,5,256,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.076000,1970,75,13,4,620,9.2000,0.7184,43.102,1,1123,23628,62.5,37.5,87.5,12.5
506,6,256,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0.076000,1970,75,13,4,620,9.6400,0.7184,43.102,1,1123,23628,37.5,62.5,62.5,37.5
506,7,256,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0.076000,1971,75,13,4,620,9.4500,0.7184,43.107,1,1123,23628,50.0,50.0,37.5,62.5
506,8,256,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0.076000,1975,75,13,4,620,9.3900,0.7184,43.102,1,1123,23628,12.5,87.5,87.5,12.5
506,9,256,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0.076000,1970,75,13,4,620,9.4800,0.7184,43.102,1,1123,23628,62.5,37.5,62.5,37.5
506,10,256,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.076000,1973,75,13,4,620,9.2700,0.7184,43.102,1,1123,23628,75.0,25.0,62.5,37.5
506,11,256,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.076000,1972,74,13,4,618,11.5500,0.7187,43.123,1,1123,23628,25.0,75.0,50.0,50.0
