generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
405,21,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072000,842,63,10,4,153,6.8700,0.3977,27.272,1,535,11528,85.7,14.3,100.0,0.0
405,22,128,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0.073000,1244,77,10,4,157,2.4500,0.5176,35.490,1,535,11528,42.9,57.1,28.6,71.4
405,23,128,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0.073000,1238,77,10,4,157,9.8900,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
405,24,128,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.073000,1241,77,10,4,157,7.0400,0.5176,35.490,1,535,11528,42.9,57.1,71.4,28.6
405,25,128,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0.073000,1239,77,10,4,157,7.8700,0.5176,35.490,1,535,11528,57.1,42.9,71.4,28.6
405,26,128,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0.073000,1239,77,10,4,157,9.8800,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
405,27,128,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.073000,1239,77,10,4,157,7.3000,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
405,28,128,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0.073000,1238,77,10,4,157,9.8800,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
405,29,128,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0.073000,1238,77,10,4,157,2.4100,0.5176,35.490,1,535,11528,42.9,57.1,14.3,85.7
406,0,128,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0.073000,1242,77,10,4,157,9.8800,0.5175,35.487,1,535,11528,71.4,28.6,42.9,57.1
406,1,128,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0.073000,1238,77,10,4,157,9.9400,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
406,2,128,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.073000,1196,77,10,4,148,15.8500,0.5175,35.487,1,535,11528,14.3,85.7,0.0,100.0
406,3,128,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.073000,1252,77,10,4,157,10.3300,0.5175,35.487,1,535,11528,71.4,28.6,42.9,57.1
406,4,128,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0.073000,1238,77,10,4,157,9.9100,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
406,5,128,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0.073000,1237,77,10,4,157,9.5400,0.5176,35.490,1,535,11528,14.3,85.7,28.6,71.4
406,6,128,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.073000,1239,77,10,4,157,9.4200,0.5176,35.490,1,535,11528,85.7,14.3,57.1,42.9
406,7,128,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.073000,1239,77,10,4,157,8.0400,0.5176,35.490,1,535,11528,28.6,71.4,57.1,42.9
406,8,128,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0.073000,1238,77,10,4,157,9.8000,0.5176,35.490,1,535,11528,28.6,71.4,57.1,42.9
406,9,128,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0.073000,1239,77,10,4,157,10.0900,0.5175,35.487,1,535,11528,42.9,57.1,42.9,57.1
406,10,128,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0.073000,1239,77,10,4,157,8.1000,0.5176,35.490,1,535,11528,42.9,57.1,71.4,28.6
406,11,128,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0.073000,1238,77,10,4,157,9.7800,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
406,12,128,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,10.7200,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
406,13,128,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,10.7000,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
406,14,128,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.073000,1243,77,10,4,157,9.7400,0.5175,35.487,1,535,11528,71.4,28.6,57.1,42.9
406,15,128,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0.073000,1243,77,10,4,157,8.3000,0.5175,35.487,1,535,11528,14.3,85.7,42.9,57.1
406,16,128,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.073000,1272,77,10,4,157,6.1500,0.5319,36.471,1,535,11528,14.3,85.7,14.3,85.7
406,17,128,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0.073000,1239,77,10,4,157,9.6400,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
406,18,128,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0.073000,1239,77,10,4,157,8.1400,0.5176,35.490,1,535,11528,57.1,42.9,57.1,42.9
406,19,128,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0.073000,1239,77,10,4,157,8.3600,0.5176,35.490,1,535,11528,28.6,71.4,71.4,28.6
406,20,128,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,10.7000,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
406,21,128,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,12.9500,0.5176,35.490,1,535,11528,42.9,57.1,28.6,71.4
406,22,128,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0.073000,1239,77,10,4,157,9.6700,0.5176,35.490,1,535,11528,28.6,71.4,57.1,42.9
406,23,128,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0.073000,1239,77,10,4,157,9.5000,0.5176,35.490,1,535,11528,42.9,57.1,71.4,28.6
406,24,128,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.073000,1192,77,10,4,148,20.5300,0.5176,35.490,1,535,11528,14.3,85.7,0.0,100.0
406,25,128,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0.073000,1238,77,10,4,157,10.0800,0.5176,35.490,1,535,11528,28.6,71.4,28.6,71.4
406,26,128,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0.073000,1242,77,10,4,157,8.1800,0.5175,35.487,1,535,11528,14.3,85.7,42.9,57.1
406,27,128,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0.073000,1243,77,10,4,157,10.6700,0.5175,35.487,1,535,11528,71.4,28.6,28.6,71.4
406,28,128,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0.073000,1238,77,10,4,157,9.7900,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
406,29,128,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.073000,1250,77,10,4,157,9.3000,0.5175,35.487,1,535,11528,71.4,28.6,71.4,28.6
407,0,128,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0.073000,1238,77,10,4,157,11.2200,0.5175,35.487,1,535,11528,42.9,57.1,28.6,71.4
407,1,128,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.073000,823,55,6,4,137,10.6800,0.3537,24.252,1,535,11528,100.0,0.0,14.3,85.7
407,2,128,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0.073000,1241,77,10,4,157,9.8900,0.5175,35.487,1,535,11528,42.9,57.1,42.9,57.1
407,3,128,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,10.3900,0.5176,35.490,1,535,11528,14.3,85.7,14.3,85.7
407,4,128,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0.073000,1242,77,10,4,157,12.9700,0.5176,35.490,1,535,11528,28.6,71.4,14.3,85.7
407,5,128,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0.073000,1238,77,10,4,157,10.3400,0.5176,35.490,1,535,11528,57.1,42.9,28.6,71.4
407,6,128,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.073000,1239,77,10,4,157,10.3400,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
407,7,128,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,5.1200,0.5176,35.490,1,535,11528,42.9,57.1,14.3,85.7
407,8,128,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0.073000,1248,77,10,4,157,10.3300,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
407,9,128,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.073000,1239,77,10,4,157,10.1000,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
407,10,128,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.073000,1238,77,10,4,157,6.4900,0.5176,35.490,1,535,11528,14.3,85.7,14.3,85.7
407,11,128,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.073000,1238,77,10,4,157,9.7700,0.5176,35.490,1,535,11528,85.7,14.3,57.1,42.9
407,12,128,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.073000,1242,77,10,4,157,10.6800,0.5176,35.490,1,535,11528,85.7,14.3,14.3,85.7
407,13,128,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0.073000,1192,77,10,4,148,14.2100,0.5176,35.490,1,535,11528,28.6,71.4,0.0,100.0
407,14,128,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,12.1400,0.5176,35.490,1,535,11528,14.3,85.7,42.9,57.1
407,15,128,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0.073000,1239,77,10,4,157,9.9000,0.5176,35.490,1,535,11528,14.3,85.7,57.1,42.9
407,16,128,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0.073000,1192,77,10,4,148,10.7400,0.5176,35.490,1,535,11528,85.7,14.3,0.0,100.0
407,17,128,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.073000,1196,77,10,4,148,13.7100,0.5175,35.487,1,535,11528,14.3,85.7,0.0,100.0
407,18,128,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0.073000,1239,77,10,4,157,10.2200,0.5176,35.490,1,535,11528,42.9,57.1,42.9,57.1
407,19,128,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.073000,1192,77,10,4,148,13.2200,0.5176,35.490,1,535,11528,28.6,71.4,0.0,100.0
407,20,128,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0.073000,1239,77,10,4,157,10.5700,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
