generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
605,7,512,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.076000,1991,78,13,4,627,1.5900,0.8016,42.750,1,2415,49104,44.4,55.6,55.6,44.4
605,8,512,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0.076000,1987,78,13,4,627,9.1400,0.8012,42.729,1,2415,49104,33.3,66.7,44.4,55.6
605,9,512,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.076000,1989,78,13,4,627,9.0900,0.8012,42.729,1,2415,49104,55.6,44.4,77.8,22.2
605,10,512,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0.076000,1996,78,13,4,627,9.2200,0.8012,42.729,1,2415,49104,55.6,44.4,66.7,33.3
605,11,512,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.076000,1991,78,13,4,627,9.0500,0.8012,42.729,1,2415,49104,66.7,33.3,88.9,11.1
605,12,512,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0.076000,1991,78,13,4,627,9.1200,0.8012,42.729,1,2415,49104,44.4,55.6,55.6,44.4
605,13,512,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0.076000,1991,78,13,4,627,2.0700,0.8012,42.729,1,2415,49104,55.6,44.4,44.4,55.6
605,14,512,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0.076000,1991,78,13,4,627,1.7200,0.8012,42.729,1,2415,49104,22.2,77.8,66.7,33.3
605,15,512,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0.076000,1989,78,13,4,627,2.0200,0.8012,42.729,1,2415,49104,44.4,55.6,33.3,66.7
605,16,512,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.074000,1501,64,13,4,623,8.9600,0.6549,34.930,1,2415,49104,88.9,11.1,100.0,0.0
605,17,512,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.6400,0.8012,42.729,1,2415,49104,66.7,33.3,66.7,33.3
605,18,512,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0.076000,1991,78,13,4,627,1.8300,0.8012,42.729,1,2415,49104,22.2,77.8,22.2,77.8
605,19,512,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0.076000,1991,78,13,4,627,9.0200,0.8012,42.729,1,2415,49104,22.2,77.8,88.9,11.1
605,20,512,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0.076000,1985,78,13,4,627,1.8600,0.8012,42.729,1,2415,49104,11.1,88.9,44.4,55.6
605,21,512,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.076000,1991,78,13,4,627,9.2000,0.8012,42.729,1,2415,49104,44.4,55.6,77.8,22.2
