generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
105,27,16,1,0,1,1,0,0,0,0,0.075000,1908,63,13,4,596,11.0800,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
105,28,16,1,0,0,1,1,1,1,0,0.075000,1910,63,13,4,596,12.6200,0.5259,42.069,1,83,1628,25.0,75.0,50.0,50.0
105,29,16,0,0,0,0,1,0,1,1,0.075000,1919,63,13,4,596,12.0300,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
106,0,16,1,0,1,0,0,1,1,0,0.075000,1905,63,13,4,596,12.1500,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
106,1,16,0,0,0,1,0,1,0,1,0.075000,1327,48,9,4,590,13.7400,0.3461,27.684,1,83,1628,100.0,0.0,25.0,75.0
106,3,16,1,0,0,0,0,1,1,0,0.075000,1905,63,13,4,596,12.1500,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
106,4,16,0,1,0,0,0,1,0,1,0.075000,1324,48,9,4,590,5.1900,0.3461,27.684,1,83,1628,100.0,0.0,25.0,75.0
106,6,16,1,0,0,0,0,0,0,0,0.074000,1455,49,13,4,592,10.9600,0.4241,33.929,1,83,1628,75.0,25.0,100.0,0.0
106,7,16,0,1,0,0,0,0,0,0,0.075000,1327,48,9,4,590,2.6900,0.3461,27.684,1,83,1628,100.0,0.0,75.0,25.0
106,8,16,0,1,0,1,1,1,1,1,0.075000,1860,62,13,4,585,15.9300,0.5259,42.072,1,83,1628,50.0,50.0,0.0,100.0
106,9,16,0,0,0,1,1,1,1,1,0.075000,1913,63,13,4,596,25.3900,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
106,10,16,1,0,0,1,1,1,0,1,0.075000,1913,63,13,4,596,14.5600,0.5259,42.069,1,83,1628,50.0,50.0,25.0,75.0
106,11,16,0,0,0,0,1,0,0,0,0.074000,1455,49,13,4,592,10.9700,0.4241,33.929,1,83,1628,75.0,25.0,100.0,0.0
106,13,16,0,0,0,0,0,0,1,0,0.074000,1455,49,13,4,592,11.5400,0.4241,33.929,1,83,1628,75.0,25.0,100.0,0.0
106,14,16,1,1,1,1,0,1,1,1,0.075000,1864,63,13,4,587,19.8700,0.5259,42.072,1,83,1628,25.0,75.0,0.0,100.0
106,15,16,1,0,0,0,1,1,1,0,0.075000,1905,63,13,4,596,12.2500,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
106,16,16,1,0,1,0,1,1,0,0,0.075000,1905,63,13,4,596,11.8600,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
